Epoch: 1, Loss: 0.9962 Train : 0.2112 Clean : 0.9570, Test  1: 0.6470, Test  2: 0.5680, Test  inf: 0.2990, Time: 168.6, Model: /content/drive/MyDrive/MNIST/model_0
Epoch: 2, Loss: 0.6333 Train : 0.4112 Clean : 0.9660, Test  1: 0.6580, Test  2: 0.5710, Test  inf: 0.4620, Time: 166.4, Model: /content/drive/MyDrive/MNIST/model_0
Epoch: 3, Loss: 0.4766 Train : 0.5607 Clean : 0.9790, Test  1: 0.6570, Test  2: 0.5820, Test  inf: 0.5870, Time: 166.6, Model: /content/drive/MyDrive/MNIST/model_0
Epoch: 4, Loss: 0.3613 Train : 0.6750 Clean : 0.9850, Test  1: 0.6260, Test  2: 0.5530, Test  inf: 0.6730, Time: 166.6, Model: /content/drive/MyDrive/MNIST/model_0
Epoch: 5, Loss: 0.2734 Train : 0.7618 Clean : 0.9890, Test  1: 0.5750, Test  2: 0.5840, Test  inf: 0.7790, Time: 166.4, Model: /content/drive/MyDrive/MNIST/model_0
Epoch: 6, Loss: 0.2065 Train : 0.8276 Clean : 0.9900, Test  1: 0.6280, Test  2: 0.6480, Test  inf: 0.8340, Time: 166.3, Model: /content/drive/MyDrive/MNIST/model_0
Epoch: 7, Loss: 0.1692 Train : 0.8621 Clean : 0.9890, Test  1: 0.5850, Test  2: 0.6350, Test  inf: 0.8620, Time: 165.9, Model: /content/drive/MyDrive/MNIST/model_0
Epoch: 8, Loss: 0.1358 Train : 0.8884 Clean : 0.9870, Test  1: 0.6120, Test  2: 0.6700, Test  inf: 0.8870, Time: 165.5, Model: /content/drive/MyDrive/MNIST/model_0
Epoch: 9, Loss: 0.1098 Train : 0.9102 Clean : 0.9940, Test  1: 0.6700, Test  2: 0.6900, Test  inf: 0.9010, Time: 165.6, Model: /content/drive/MyDrive/MNIST/model_0
Epoch: 10, Loss: 0.0916 Train : 0.9243 Clean : 0.9910, Test  1: 0.6710, Test  2: 0.7020, Test  inf: 0.9050, Time: 165.7, Model: /content/drive/MyDrive/MNIST/model_0
Epoch: 11, Loss: 0.0791 Train : 0.9344 Clean : 0.9920, Test  1: 0.6860, Test  2: 0.7160, Test  inf: 0.9090, Time: 165.4, Model: /content/drive/MyDrive/MNIST/model_0
Epoch: 12, Loss: 0.0692 Train : 0.9418 Clean : 0.9920, Test  1: 0.6800, Test  2: 0.7290, Test  inf: 0.9070, Time: 165.4, Model: /content/drive/MyDrive/MNIST/model_0
Epoch: 13, Loss: 0.0614 Train : 0.9484 Clean : 0.9920, Test  1: 0.7350, Test  2: 0.7600, Test  inf: 0.9180, Time: 164.5, Model: /content/drive/MyDrive/MNIST/model_0
Epoch: 14, Loss: 0.0530 Train : 0.9564 Clean : 0.9930, Test  1: 0.7650, Test  2: 0.7660, Test  inf: 0.9040, Time: 164.7, Model: /content/drive/MyDrive/MNIST/model_0
Epoch: 15, Loss: 0.0479 Train : 0.9612 Clean : 0.9930, Test  1: 0.7710, Test  2: 0.7790, Test  inf: 0.9140, Time: 164.7, Model: /content/drive/MyDrive/MNIST/model_0
Epoch: 16, Loss: 0.0409 Train : 0.9675 Clean : 0.9900, Test  1: 0.7350, Test  2: 0.7640, Test  inf: 0.9150, Time: 164.8, Model: /content/drive/MyDrive/MNIST/model_0
Epoch: 17, Loss: 0.0364 Train : 0.9712 Clean : 0.9940, Test  1: 0.7580, Test  2: 0.7810, Test  inf: 0.9110, Time: 164.7, Model: /content/drive/MyDrive/MNIST/model_0
Epoch: 18, Loss: 0.0316 Train : 0.9766 Clean : 0.9930, Test  1: 0.7710, Test  2: 0.7940, Test  inf: 0.9240, Time: 164.5, Model: /content/drive/MyDrive/MNIST/model_0
Epoch: 19, Loss: 0.0280 Train : 0.9798 Clean : 0.9940, Test  1: 0.7750, Test  2: 0.7850, Test  inf: 0.9180, Time: 164.9, Model: /content/drive/MyDrive/MNIST/model_0
Epoch: 20, Loss: 0.0263 Train : 0.9819 Clean : 0.9940, Test  1: 0.7760, Test  2: 0.7830, Test  inf: 0.9180, Time: 165.0, Model: /content/drive/MyDrive/MNIST/model_0
